,"Propinsi, Kab/Kota","Kecamatan, Desa/Kel",Alamat,Koordinat
1751,"JAWA TIMUR, PACITAN","PACITAN, PONGGOK",SUGIHWARAS,"-8.149445, 111.107666666667"
1752,"JAWA TIMUR, KAB. PACITAN","PACITAN, PURWOREJO",DSN. KRAJAN,"-8.1863653, 111.1296859"
1753,"JAWA TIMUR, KAB. MAGETAN","BARAT, BOGOREJO",BOGOREJO,"-7.57486501, 111.45085875"
1754,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, PLOSO",DSN. TANJUNG,"-8.0501582, 111.30361831"
1755,"JAWA TIMUR, KAB. MALANG","AMPELGADING, TAMANASRI",KRAJAN,"-8.2310064, 112.8617141"
1756,"JAWA TIMUR, KAB. PACITAN","SUDIMORO, SUKOREJO",TUMPAKSALAM,"-8.23674129, 111.37706204"
1757,"JAWA TIMUR, PACITAN","TULAKAN, NGLARAN",DSN. PULE,"-8.22661197, 111.22495816"
1758,"JAWA TIMUR, KAB. PACITAN","PRINGKUKU, PRINGKUKU",PAGUTAN,"-8.1910059, 111.0324417"
1759,"JAWA TIMUR, KAB. PACITAN","KEBONAGUNG, KARANGNONGKO",TAWANG,"-0.2400067, 111.1385246"
1760,"JAWA TIMUR, KAB. PACITAN","SUDIMORO, SUDIMORO",DSN. SIDOREJO,"-8.21138924, 111.37947819"
1761,"JAWA TIMUR, KAB. MAGETAN","SIDOREJO, GETASANYAR",DSN KARANG,"-7.6662982, 111.2583702"
1762,"JAWA TIMUR, KAB. PACITAN","SUDIMORO, SUDIMORO",SIDOREJO,"-8.2116684, 111.3832495"
1763,"JAWA TIMUR, KAB. MAGETAN","KAWEDANAN, POJOK",POJOK,"-7.71923333333333, 111.433573333333"
1764,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, NGRECO",JAJAR,"-8.0864666, 111.2569365"
1765,"JAWA TIMUR, KAB. PACITAN","TULAKAN, KALIKUNING",DSN. KEPEK,"-8.15078833333333, 111.201325"
1766,"JAWA TIMUR, KAB. MAGETAN","NGUNTORONADI, SIMBATAN",SIMBATAN WETAN,"-7.68898614242578, 111.442761836073"
1767,"JAWA TIMUR, KAB. PACITAN","TULAKAN, KETRO",KETRO,"-8.1345811, 111.3276885"
1768,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, TLOGOWARU",JL. KHAUDUL  ULUM,"-8.0353017, 112.6528395"
1769,"JAWA TIMUR, KAB. MAGETAN","NGUNTORONADI, DRIYOREJO",JETIS,"-7.7064418, 111.415851"
1770,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, PENGGUNG",PETUNGGERO.B,"-7.9289576, 111.1606401"
1771,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, MUJING",DUSUN PAKEL,"-8.0179502, 111.2049506"
1772,"JAWA TIMUR, KAB. PACITAN","TULAKAN, NGLARAN",KRAJAN,"-8.21822706, 111.23213694"
1773,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, ARJOWINANGUN",JL. TUTUT VI,"-8.0397123, 112.6391627"
1774,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, TEGALOMBO",DSN. RINGIN ASRI,"-8.0668062, 111.3115171"
1775,"JAWA TIMUR, KAB. PACITAN","BANDAR, JERUK",WATUKUDI,"-7.9439583, 111.224605"
1776,"JAWA TIMUR, KAB. MALANG","AMPELGADING, TAMANASRI",KAMPUNG ANYAR,"-8.2612903, 112.8315914"
1777,"JAWA TIMUR, KAB. MAGETAN","PARANG, TROSONO",DK GLAGAHOMBO,"-7.77056166666667, 111.311875"
1778,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, PLOSO",WERU,"-7.99816166666667, 111.30221"
1779,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, GEMAHARJO",DSN. KALIGONDANG,"-8.05942464, 111.33586639"
1780,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, NGROMO",DSN NGETEP,"-7.9510557, 111.2254438"
1781,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, TAHUNAN",DSN. NANGGUNGAN,"-8.0075728, 111.3377876"
1782,"JAWA TIMUR, KAB. PACITAN","TULAKAN, BUBAKAN",TANGGUNG,"-2.54999995231628, 118.01000213623"
1783,"JAWA TIMUR, KAB. MALANG","AMPELGADING, TAMANASRI",KRAJAN,"-8.237689, 112.8580307"
1784,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, NAWANGAN",DSN. TEMPEL,"-8.00851704, 111.15550472"
1785,"JAWA TIMUR, KAB. MALANG","DAU, KARANGWIDORO",,"-7.9574029, 112.5730232"
1786,"JAWA TIMUR, KAB. PACITAN","TULAKAN, KETRO",WERU,"-8.1161446, 111.3175318"
1787,"JAWA TIMUR, KAB. PACITAN","BANDAR, PETUNGSINARANG",PETUNGSINARANG,"-8.076275, 111.225596666667"
1788,"JAWA TIMUR, KAB. PACITAN","BANDAR, PETUNGSINARANG",NGINUMAN,"-8.05153267923743, 111.256977505982"
1789,"JAWA TIMUR, KOTA MALANG","BLIMBING, BALEARJOSARI",JL. PAHLAWAN,"-7.9273012, 112.6568343"
1790,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, NAWANGAN",KRAJAN,"-7.99995037, 111.18495987"
1791,"JAWA TIMUR, KAB. MAGETAN","KARAS, SUMURSONGO",SUMURSONGO,"-7.5431169, 111.3996923"
1792,"JAWA TIMUR, KAB. PACITAN","KEBONAGUNG, WORAWARI",DSN. BANJARJO,"-8.22212, 111.21508772"
1793,"JAWA TIMUR, KAB. MAGETAN","KARTOHARJO, BAYEMWETAN",BAYEMWETAN,"-7.5267028, 111.436085"
1794,"JAWA TIMUR, KOTA MALANG","BLIMBING, PANDANWANGI",JL SIMPANG SULFAT SELATAN,"-7.9658285, 112.6540066"
1795,"JAWA TIMUR, KAB. MAGETAN","NGARIBOYO, NGARIBOYO",NGARIBOYO,"-7.680968, 111.333505"
1796,"JAWA TIMUR, KAB. MAGETAN","LEMBEYAN, KROWE",KROWE,"-7.73308626, 111.37450853"
1797,"JAWA TIMUR, MAGETAN","KAWEDANAN, NGENTEP",DUSUN PENCOL,"-7.6908577, 111.4147331"
1798,"JAWA TIMUR, KAB. MAGETAN","PANEKAN, SUKOWIDI",SUKOWIDI,"-7.6173688, 111.3487789"
1799,"JAWA TIMUR, KAB. PACITAN","DONOROJO, KLEPU",DUSUN KLEPU KRAJAN,"-8.1525579, 110.920673"
1800,"JAWA TIMUR, KOTA MALANG","SUKUN, KARANGBESUKI",JL. RAYA CANDI V,"-7.9557265, 112.6011072"
1801,"JAWA TIMUR, KOTA MALANG","SUKUN, KEBONSARI",JL. SATSUI TUBUN GG. KYAI MAKHALI,"-8.0221535, 112.623305"
1802,"JAWA TIMUR, KOTA MALANG","SUKUN, KARANGBESUKI",JL. RAYA CANDI V / 191,"-7.9557265, 112.6011072"
1803,"JAWA TIMUR, JEMBER","AJUNG, AJUNG",DUSUN AJUNG KULON,"-8.211869, 113.6690045"
1804,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, LESANPURO",JL. LESANPURO XII / 63,"-7.99022801, 112.66531644"
1805,"JAWA TIMUR, JEMBER","AJUNG, WIROWONGSO",DUSUN BESUK,"-8.2202862, 113.6841204"
1806,"JAWA TIMUR, KOTA MALANG","SUKUN, TANJUNGREJO",JL. SUKUN SIDOMULYO,"-7.990908, 112.6145442"
1807,"JAWA TIMUR, KOTA MALANG","SUKUN, TANJUNGREJO",JL. TRS. TANJUNG PUTRA YUDHA V BLOK C-14,"-7.9919542, 112.613157"
1808,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",DUSUN AJUNG KULON,"-8.2151013, 113.6690458"
1809,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, LESANPURO",JL. LESANPURO XII / 20,"-7.98730617, 112.66324234"
1810,"JAWA TIMUR, KOTA MALANG","SUKUN, BANDUNGREJOSARI",JL. JANTI BARAT III / 122,"-8.00442830974058, 112.62390525224912"
1811,"JAWA TIMUR, KOTA MALANG","BLIMBING, PURWANTORO",JL. KARYA TIMUR IV,"-7.947136018036724, 112.64324860541583"
1812,"JAWA TIMUR, KOTA MALANG","SUKUN, BANDUNGREJOSARI",JL. KLAYATAN I,"-8.000329516306603, 112.61720009022584"
1813,"JAWA TIMUR, KOTA MALANG","SUKUN, BANDUNGREJOSARI",JL. KEMANTREN III GG. DR. WAHIDIN 63,"-8.004380867644747, 112.61167061292329"
1814,"JAWA TIMUR, KOTA MALANG","SUKUN, BANDUNGREJOSARI",JL. RAYA KEPUH 10 / 27,"-8.011300852454918, 112.62067145815459"
1815,"JAWA TIMUR, KOTA MALANG","KLOJEN, KAUMAN",JL A R HAKIM II / 1232,"-7.98033342, 112.62775462"
1816,"JAWA TIMUR, KAB. JOMBANG","BANDARKEDUNGMULYO, BRANGKAL",DSN. PROKO,"-7.53630086313933, 112.147419350222"
1817,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, KOTALAMA",JL. MUHARTO V C,"-7.9957744, 112.6380163"
1818,"JAWA TIMUR, KOTA BLITAR","SUKOREJO, TANJUNGSARI",JL. KALI TEMPUR,"-8.085087, 112.1514421"
1819,"JAWA TIMUR, KOTA MALANG","BLIMBING, PANDANWANGI",JL SIMP SULFAT SELATAN 3,"-7.9663446, 112.6544594"
1820,"JAWA TIMUR, BANYUWANGI","BANGOREJO, SAMBIREJO",DSN. PASEMBON,"-8.48914928, 114.15567021"
1821,"JAWA TIMUR, KOTA MALANG","LOWOKWARU, TUNGGULWULUNG",JL. AKORDION 141,"-7.93192768, 112.61396171"
1822,"JAWA TIMUR, KOTA MALANG","LOWOKWARU, SUMBERSARI",JL. SUMBERSARI V-C/427-T,"-7.957871, 112.6158547"
1823,"JAWA TIMUR, KOTA MALANG","LOWOKWARU, TUNGGULWULUNG",JL SERULING,"-7.92644982, 112.61426955"
1824,"JAWA TIMUR, KAB. MAGETAN","KAWEDANAN, TULUNG",DUSUN TEMPLEK,"-7.695859, 111.4267305"
1825,"JAWA TIMUR, KAB. MAGETAN","BENDO, PINGKUK",DUSUN CETHOKAN,"-7.6690496, 111.4352276"
1826,"JAWA TIMUR, KAB. MAGETAN","KAWEDANAN, TULUNG",TULUNG,"-7.70518330391496, 111.429483192042"
1827,"JAWA TIMUR, KAB. BANYUWANGI","WONGSOREJO, ALASBULUH",DUSUN KRAJAN I,"-7.9952839, 114.4019211"
1828,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, GUNUNG ANYAR TAMBAK",JL.GUNUNGANYAR TAMBAK II / 9.A,"-7.34479973, 112.80406099"
1829,"JAWA TIMUR, KAB. MAGETAN","BENDO, SOCO",SOCO,"-7.6454795524478, 111.445124493912"
1830,"JAWA TIMUR, KOTA MALANG","SUKUN, TANJUNGREJO",JL. I.R. RAIS IX / 373 A,"-7.987085, 112.618753333333"
1831,"JAWA TIMUR, KAB. BANYUWANGI","WONGSOREJO, BAJULMATI",DUSUN GALEKAN,"-7.98415576, 114.39880234"
1832,"JAWA TIMUR, PACITAN","NAWANGAN, JETIS LOR",DUSUN BENDAR,"-7.9927744, 111.1833397"
1833,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, CEMOROKANDANG",JL. SLAMET,"-7.9872947, 112.6903838"
1834,"JAWA TIMUR, KAB. BANYUWANGI","BLIMBINGSARI, KAOTAN",DUSUN KRAJAN,"-8.32422561, 114.30095371"
1835,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, KOTALAMA",JL. MUHARTO V B,"-7.99355, 112.638325"
1836,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, TLOGOWARU",JL. BAITUROHMAN,"-8.03920866546, 112.652641497552"
1837,"JAWA TIMUR, MAGETAN","BARAT, BOGOREJO",BOGOREJO,"-7.5704765, 111.4505435"
1838,"JAWA TIMUR, KOTA MALANG","SUKUN, MULYOREJO",JL. BUDI UTOMO 21 A,"-7.98879521, 112.59524115"
1839,"JAWA TIMUR, KOTA BLITAR","SUKOREJO, PAKUNDEN",JL BENGAWAN SOLO GG II NO. 13,"-8.0976, 112.15209"
1840,"JAWA TIMUR, KOTA MALANG","SUKUN, BAKALANKRAJAN",JL. PELABUHAN BAKAHUNI 27 A,"-8.00451666666667, 112.608293333333"
1841,"JAWA TIMUR, KAB. PACITAN","KEBONAGUNG, PLUMBUNGAN",TENGGAR,"-8.23623202, 111.12707372"
1842,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, KOTALAMA",JL. MUHARTO V B,"-7.9967219, 112.6389594"
1843,"JAWA TIMUR, KAB. PROBOLINGGO","TEGALSIWALAN, BULUJARANLOR",DUSUN JANTEN,"-7.8532857, 113.2828049"
1844,"JAWA TIMUR, KOTA MALANG","SUKUN, TANJUNGREJO",JL TRS TANJUNG PUTRA YUDHA V E / 25,"-7.9831552, 112.6123709"
1845,"JAWA TIMUR, KAB. PACITAN","KEBONAGUNG, WONOGONDO",JATEN,"-8.192066, 111.149521"
1846,"JAWA TIMUR, KOTA MALANG","SUKUN, BAKALANKRAJAN",JL. PELABUHAN TANJUNG PERAK,"-8.0011767, 112.6004816"
1847,"JAWA TIMUR, KAB. MALANG","TUMPANG, JERU",JL PATIMURA,"-7.993733, 112.759345"
1848,"JAWA TIMUR, KOTA MALANG","SUKUN, SUKUN",JL. S. SUPRIADI GG. MASJID ABDULLAH 24,"-7.9974446, 112.6178917"
1849,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, MERGOSONO",JL. KOLONEL SUGIONO III C,"-7.92922134, 112.6029885"
1850,"JAWA TIMUR, KOTA MALANG","SUKUN, BANDUNGREJOSARI",JL. KEMANTREN II Gg. JERUK NO. 10,"-8.0019332, 112.6126501"
1851,"JAWA TIMUR, KAB. BANYUWANGI","BLIMBINGSARI, PATOMAN",DSN PATOMAN BARAT,"-8.3293589, 114.3431639"
1852,"JAWA TIMUR, KAB. MALANG","TUREN, SANANREJO",JL. NUSA INDAH,"-8.14850107301027, 112.722653103992"
1853,"JAWA TIMUR, JEMBER","SUKORAMBI, JUBUNG",DUSUN KRAJAN PLALANGAN,"-8.2027517, 113.6266018"
1854,"JAWA TIMUR, KAB. JOMBANG","BANDARKEDUNGMULYO, BRANGKAL",DSN KEDUNGSARI,"-7.5472113, 112.1371107"
1855,"JAWA TIMUR, KOTA MALANG","LOWOKWARU, MOJOLANGU",JL. SIMPANG CANDI PANGGUNG 78/A-1,"-7.9558182, 112.6163265"
1856,"JAWA TIMUR, JEMBER","AJUNG, WIROWONGSO",DUSUN BESUK,"-8.2180159, 113.6944555"
1857,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, TLOGOWARU",JL. RAYA TLOGOWARU,"-7.87275695, 112.52910541"
1858,"JAWA TIMUR, JEMBER","ARJASA, ARJASA",DUSUN KRAJAN,"-8.1195818, 113.7481531"
1859,"JAWA TIMUR, KAB. PACITAN","KEBONAGUNG, WONOGONDO",JATEN,"-8.19681135, 111.15427286"
1860,"JAWA TIMUR, JEMBER","SUKORAMBI, JUBUNG",DUSUN KRAJAN,"-8.1903937, 113.6403999"
1861,"JAWA TIMUR, KOTA MALANG","LOWOKWARU, TUNJUNGSEKAR",JL. IKAN PIRANHA ATAS,"-7.9714351, 112.63391464"
1862,"JAWA TIMUR, KOTA MALANG","SUKUN, SUKUN",JL. S. SUPRIADI IV / 55,"-7.9943499, 112.7621091"
1863,"JAWA TIMUR, KAB. MALANG","WAGIR, PARANGARGO",DUSUN WAGIR,"-8.01124401390553, 112.590725971386"
1864,"JAWA TIMUR, KOTA SURABAYA","WIYUNG, BALAS KLUMPRIK",KLUMPRIK,"-7.33104, 112.684095"
1865,"JAWA TIMUR, KAB. MALANG","AMPELGADING, ARGOYUWONO",DUSUN ARGOSUKO,"-8.190677, 112.8762771"
1866,"JAWA TIMUR, KAB. MALANG","AMPELGADING, ARGOYUWONO",DSN ARGOSUKO,"-8.20323, 112.8796285"
1867,"JAWA TIMUR, JEMBER","ARJASA, ARJASA",JL. LETNAN PRAYITNO,"-8.1195687, 113.7472656"
1868,"JAWA TIMUR, KAB. MAGETAN","KARANGREJO, PRAMPELAN",PRAMPELAN,"-7.5535344, 111.4184852"
1869,"JAWA TIMUR, KOTA BATU","BATU, ORO-ORO OMBO",JL. MELATI,"-7.9052867, 112.5277096"
1870,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, KOTALAMA",JL LAKS. MARTADINATA I,"-7.991953, 112.635215"
1871,"JAWA TIMUR, KAB. MALANG","DAMPIT, DAMPIT",JL BLAMBANGAN,"-8.2147401, 112.7504069"
1872,"JAWA TIMUR, KAB. MALANG","AMPELGADING, MULYOASRI",DUSUN SUKOREJO,"-8.2351153, 112.8786201"
1873,"JAWA TIMUR, KOTA BATU","BUMIAJI, SUMBERGONDO",JL. MAIRAH 94,"-7.8318869, 112.5327208"
1874,"JAWA TIMUR, KOTA BATU","BUMIAJI, SUMBERGONDO",DUSUN SEGUNDU,"-7.8324421, 112.5316518"
1875,"JAWA TIMUR, KAB. MALANG","KARANG PLOSO, BOCEK",BOCEK,"-7.8775901, 112.5904687"
1876,"JAWA TIMUR, KAB. MALANG","PONCOKUSUMO, WONOREJO",WONOREJO,"-8.04591994732618, 112.780931890011"
1877,"JAWA TIMUR, KAB. MALANG","KALIPARE, SUKOWILANGUN",DUSUN SUKOREJO,"-8.18827333333333, 112.462298333333"
1878,"JAWA TIMUR, KAB. MALANG","KARANG PLOSO, NGENEP",MOJOSARI,"-7.88377166666667, 112.62127"
1879,"JAWA TIMUR, KAB. BANYUWANGI","PURWOHARJO, SUMBERSARI",DUSUN SUMBEREJEKI,"-8.549105, 114.26333"
1880,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, BUMIAYU",JL.KYAI PARSEH JAYA,"-8.031045, 112.630031"
1881,"JAWA TIMUR, KAB. MALANG","PUJON, NGABAB",DK KRAJAN,"-7.83020959, 112.44202862"
1882,"JAWA TIMUR, KOTA MALANG","SUKUN, GADANG",JL. GADANG XXI C / 15,"-7.11954, 113.39949"
1883,"JAWA TIMUR, KAB. JEMBER","BANGSALSARI, CURAHKALONG",DUSUN SUMBERKLOPO,"-8.14078549, 113.53188416"
1884,"JAWA TIMUR, KAB. MALANG","PUJON, WIYUREJO",WIYUREJO,"-7.8271804, 112.4753059"
1885,"JAWA TIMUR, KOTA MALANG","SUKUN, BAKALANKRAJAN",JL. PELABUHAN TANJUNG PERAK,"-8.00011816, 112.60298218"
1886,"JAWA TIMUR, KOTA MALANG","BLIMBING, BUNULREJO",JL. BINOR VIII / 34,"-7.96922753, 112.64652347"
1887,"JAWA TIMUR, KAB. BANYUWANGI","BLIMBINGSARI, WATUKEBO",DSN GLONDONG,"-8.30916362, 114.28659516"
1888,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, MERGOSONO",JL KOL SUGIONO III B / 17,"-8.000718, 112.635029"
1889,"JAWA TIMUR, KOTA MALANG","BLIMBING, BUNULREJO",JL. BINOR I / 2,"-7.96934191603214, 112.648156927899"
1890,"JAWA TIMUR, KAB. MALANG","TIRTOYUDO, SUMBERTANGKIL",DUSUN GAMPINGAN,"-8.31089842, 112.84662674"
1891,"JAWA TIMUR, KAB. MALANG","PAKIS, SUKOANYAR",DSN KEMUNING,"-7.972143, 112.7366272"
1892,"JAWA TIMUR, KAB. MALANG","PONCOKUSUMO, DAWUHAN",,"-8.07826, 112.758045"
1893,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, CEMOROKANDANG",JL SAMPURNA,"-7.986116, 112.685569"
1894,"JAWA TIMUR, KAB. MALANG","SUMBERMANJING WETAN, RINGINSARI",DUSUN SIDOMUKTI,"-8.29242666666667, 112.67151"
1895,"JAWA TIMUR, KAB. PAMEKASAN","TLANAKAN, DABUAN",DSN KWANYAR,"-7.1729839, 113.3922155"
1896,"JAWA TIMUR, KOTA MALANG","KLOJEN, RAMPALCELAKET",JL. JAKSA AGUNG SUPRAPTO III/42,"-7.9594164, 112.6158575"
1897,"JAWA TIMUR, KAB. MALANG","PAKIS, PUCANGSONGO",DSN KRAJAN 1,"-7.9847836, 112.7138813"
1898,"JAWA TIMUR, KOTA BATU","BATU, NGAGLIK",JL DARSONO GG RAJAWALI NO 101,"-7.87206095, 112.51699778"
1899,"JAWA TIMUR, KOTA MALANG","BLIMBING, ARJOSARI",JL TELUK PELABUHAN RATU,"-7.9311269, 112.6580035"
1900,"JAWA TIMUR, KAB. MALANG","PONCOKUSUMO, KARANGANYAR",DUSUN LORKALI,"-8.0617118, 112.7555824"
1901,"JAWA TIMUR, KAB. MALANG","KARANG PLOSO, TAWANGARGO",DUSUN KALIMALANG,"-7.87966669, 112.57123035"
1902,"JAWA TIMUR, KOTA MALANG","BLIMBING, BUNULREJO",JL. MEMBERAMO V / 23,"-7.9704394005239, 112.647202648222"
1903,"JAWA TIMUR, KAB. MALANG","PAKIS, SAPTORENGGO",BUGIS KRAJAN,"-7.9487269, 112.6812649"
1904,"JAWA TIMUR, KAB. MALANG","PONCOKUSUMO, PANDANSARI",PANDANSARI,"-8.06782497, 112.81031226"
1905,"JAWA TIMUR, KOTA MALANG","BLIMBING, BUNULREJO",JL. SEBUKU VI / 14,"-7.9614327, 112.6461236"
1906,"JAWA TIMUR, KAB. MAGETAN","BENDO, KINANDANG",KINANDANG,"-7.625315, 111.454815"
1907,"JAWA TIMUR, KAB. MAGETAN","MAGETAN, TAMBAKREJO",TAMBAKREJO,"-7.6522363, 111.3535578"
1908,"JAWA TIMUR, KAB. MALANG","AMPELGADING, TIRTOMARTO",DSN KRAJAN,"-8.23959009, 112.87927303"
1909,"JAWA TIMUR, KAB. MALANG","AMPELGADING, TAMANSARI",DSN TAMANSARI,"-8.1903582, 112.8762771"
1910,"JAWA TIMUR, KAB. MALANG","AMPELGADING, SONOWANGI",DUSUN KAMPUNG TENGAH,"-8.25779822, 112.86847901"
1911,"JAWA TIMUR, KAB. MAGETAN","SIDOREJO, CAMPURSARI",CAMPURSARI,"-7.65468531, 111.30712234"
1912,"JAWA TIMUR, KAB. MAGETAN","PANEKAN, SIDOWAYAH",DSN WIDE 2,"-7.61087166666667, 111.327445"
1913,"JAWA TIMUR, KAB. BOJONEGORO","DANDER, SUMBERARUM",SUMBERARUM,"-7.258955, 111.872611666667"
1914,"JAWA TIMUR, KAB. PACITAN","TULAKAN, KALIKUNING",KRAJAN,"-8.138914, 111.2444468"
1915,"JAWA TIMUR, KAB. MALANG","AMPELGADING, TAWANGAGUNG",DSN SUMBERSENGKARING,"-8.2319817, 112.8870089"
1916,"JAWA TIMUR, KAB. MAGETAN","MAOSPATI, SUMBEREJO",SUMBEREJO,"-7.5894193, 111.4631637"
1917,"JAWA TIMUR, KAB. MAGETAN","KAWEDANAN, GIRIPURNO",GIRIPURNO,"-7.692945, 111.3923"
1918,"JAWA TIMUR, KAB. MAGETAN","KARANGREJO, BALUK",BALUK,"-7.5403598, 111.42082504"
1919,"JAWA TIMUR, KAB. MAGETAN","PANEKAN, JABUNG",DSN BULUSARI,"-7.5990792, 111.2761187"
1920,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, TLOGOWARU",JL. RAYA TLOGOWARU,"-8.0367488, 112.655116"
1921,"JAWA TIMUR, KOTA MALANG","LOWOKWARU, LOWOKWARU",JL SELOREJO BLOK C NO 11 A,"-7.961275, 112.623338333333"
1922,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, BUMIAYU",JL. KECIPIR NO.18,"-8.00967833333333, 112.633775"
1923,"JAWA TIMUR, MAGETAN","MAOSPATI, KRATON",JL. SENDANG KAMAL,"-7.6045985, 111.4482695"
1924,"JAWA TIMUR, KAB. MAGETAN","PONCOL, CILENG",DK SAMBIROTO,"-7.73479313, 111.28096673"
1925,"JAWA TIMUR, KAB. MAGETAN","NGARIBOYO, BANJAREJO",BANJAREJO,"-7.67300681, 111.35747504"
1926,"JAWA TIMUR, KAB. MAGETAN","PONCOL, SOMBO",SOMBO,"-7.74582658, 111.29277674"
1927,"JAWA TIMUR, KAB. MAGETAN","KARTOHARJO, JAJAR",JAJAR,"-7.5214926, 111.4883017"
1928,"JAWA TIMUR, KAB. MAGETAN","LEMBEYAN, PUPUS",DK JOMBLANG,"-7.74614159949124, 111.406623311341"
1929,"JAWA TIMUR, KOTA MALANG","LOWOKWARU, MOJOLANGU",JL SIMPANG CANDI PANGGUNG 18,"-7.9590207, 112.6140815"
1930,"JAWA TIMUR, KAB. MAGETAN","SUKOMORO, BULU",DESA BULU SUKOMORO,"-7.63363038, 111.38789459"
1931,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, BUMIAYU",JL KANGKUNG,"-8.01716255, 112.6360531"
1932,"JAWA TIMUR, KOTA SURABAYA","KENJERAN, TANAH KALI KEDINDING",TANAH MERAH 2/26-A,"-7.23121563, 112.76835625"
1933,"JAWA TIMUR, MAGETAN","TAKERAN, MADIGONDO",DUKUH GAMBIRAN,"-7.66267685, 111.48929204"
1934,"JAWA TIMUR, MAGETAN","KARAS, SUMURSONGO",SUMURSONGO,"-7.5453855, 111.3909309"
1935,"JAWA TIMUR, MAGETAN","KARTOHARJO, SUKOWIDI",SUKOWIDI,"-7.5495768, 111.5094993"
1936,"JAWA TIMUR, KOTA MALANG","LOWOKWARU, MOJOLANGU",JL. SIMPANG BOROBUDUR UTARA NO. 7A,"-7.9383155, 112.6408171"
1937,"JAWA TIMUR, KAB. MAGETAN","BARAT, MANJUNG",JL MATAHARI,"-7.5625105, 111.4620342"
1938,"JAWA TIMUR, KOTA MALANG","KLOJEN, SAMAAN",JL KALIURANG BARAT I / 24,"-7.9621874, 112.6281634"
1939,"JAWA TIMUR, KOTA MALANG","KLOJEN, ORO-ORO DOWO",JL BRIGJEN SLAMET RIADI XVI / 52,"-7.9647042, 112.6278729"
1940,"JAWA TIMUR, KOTA MALANG","SUKUN, BANDUNGREJOSARI",JL. KEMANTREN II GG. JERUK 14,"-8.00201876163216, 112.612333830559"
1941,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, KOTALAMA",JL.MUHARTO VII,"-7.9949204, 112.641036"
1942,"JAWA TIMUR, KAB. MALANG","DAMPIT, SRIMULYO",DSN SUKOREJO,"-8.2926333, 112.8071529"
1943,"JAWA TIMUR, KAB. MAGETAN","KARANGREJO, BALUK",DSN. BANGUN,"-7.5407503, 111.41725427"
1944,"JAWA TIMUR, JEMBER","SUKORAMBI, JUBUNG",DUSUN DARUNGAN,"-8.2021541, 113.6362729"
1945,"JAWA TIMUR, KAB. MALANG","JABUNG, JABUNG",JL. GUNUNG SARI,"-7.91447, 112.7612071"
1946,"JAWA TIMUR, KAB. MAGETAN","PARANG, NGLOPANG",JARAKAN,"-7.77363442826577, 111.334104741069"
1947,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, CEMOROKANDANG",JL. SAMPURNA,"-7.9826653, 112.6794599"
1948,"JAWA TIMUR, KAB. MALANG","DONOMULYO, BANJAREJO",KRAJAN,"-8.3115056, 112.4759635"
1949,"JAWA TIMUR, KAB. MALANG","DAMPIT, SRIMULYO",DSN SUKOREJO,"-8.2319134, 112.8211644"
1950,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, CEMOROKANDANG",JL RAYA CEMOROKANDANG,"-7.9779406, 112.6799506"
1951,"JAWA TIMUR, KAB. MALANG",", ",-,"-8.1731156, 112.6587503"
1952,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, KOTALAMA",JL MUHARTO V C,"-7.995625, 112.636981666667"
1953,"JAWA TIMUR, KOTA MALANG","SUKUN, TANJUNGREJO",JL. SUKUN GEMPOL,"-7.99103166666667, 112.611053333333"
